name,lines,lat,lon
한성대입구,4호선,37.588201,127.0053156
한성백제,9호선,37.5167113,127.1162809
한양대,2호선,37.5557274,127.0436837
한티,수인·분당선,37.496274,127.0528411
합정,2호선|6호선,37.5500781,126.9146378
행당,5호선,37.5576032,127.0299451
행신,경의·중앙선,37.611993,126.8341887
혜화,4호선,37.5821434,127.0019312
호구포,수인·분당선,37.4020968,126.7077547
홍대입구,2호선|경의·중앙선|공항철도,37.5566763,126.9234645
홍제,3호선,37.588674,126.944199
화계,우이신설선,37.6340359,127.0174308
화곡,5호선,37.5417123,126.8404024
화랑대,6호선,37.6197559,127.0837172
화서,1호선,37.2833438,126.9900975
화정,3호선,37.6345957,126.8326234
회기,1호선|경의·중앙선|경춘선,37.5891676,127.0572961
회룡,1호선|의정부경전철,37.7250332,127.0471527
회현,4호선,37.5587614,126.978436
효자,의정부경전철,37.753989,127.0773992
효창공원앞,6호선|경의·중앙선,37.5393117,126.9613534
흑석,9호선,37.508366,126.9639299
흥선,의정부경전철,37.7432726,127.0374127
